model,accuracy,precision,recall,f1-score
rf,0.9649122807017544,0.9652053622194477,0.9649122807017544,0.9647382344750765
gb,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898
knn,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
svc,0.9473684210526315,0.9474739303990012,0.9473684210526315,0.947107351712615
lr,0.9912280701754386,0.991349902534113,0.9912280701754386,0.991207141671538
mlp,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
xgb,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898
rf_pca,0.956140350877193,0.9560881370091896,0.956140350877193,0.9560357083576898
