model,accuracy,precision,recall,f1-score
rf,0.9444444444444444,0.9462237565229452,0.9444444444444444,0.9444590610536655
gb,0.9583333333333334,0.9597828619431052,0.9583333333333334,0.9585246555750941
knn,0.9694444444444444,0.9696659060814371,0.9694444444444444,0.9692870858093541
svc,0.9472222222222222,0.9486461708996013,0.9472222222222222,0.9473319075421216
lr,0.9638888888888889,0.9641004878245065,0.9638888888888889,0.9638815214626735
mlp,0.9777777777777777,0.9780028848675583,0.9777777777777777,0.9778098895710292
xgb,0.9555555555555556,0.9571842824379057,0.9555555555555556,0.9559378099008475
rf_pca,0.9277777777777778,0.9283220606201661,0.9277777777777778,0.9274547178980389
